genome,completeness,contamination
SRR9033718_bin.5.fa,98.61,0
ERR2162221_bin.33.fa,99.32,0
SRR9033737_bin.32.fa,99.32,0
SRR5930534_bin.32.fa,99.32,0
subSRR5930498_bin.42.fa,98.57,0
SRR6000906_bin.7.fa,98.65,0
subSRR5930495_bin.33.fa,97.98,0.671
subSRR5930520_bin.18.fa,97.98,0
SRR5930510_bin.19.fa,75.91,0.559
SRR6000910_bin.7.fa,91.82,0.335
ERR2162202_bin.8.fa,98.84,0
subSRR6000944_bin.15.fa,98.65,0.671
subSRR5930504_bin.31.fa,85.19,1.677
subSRR6000892_bin.30.fa,98.65,0
subSRR6000896_bin.6.fa,99.32,1.027
SRR5930511_bin.28.fa,99.32,1.342
subSRR5930498_bin.53.fa,97.98,2.684
subSRR5930516_bin.39.fa,86.56,2.516
SRR5930510_bin.7.fa,99.32,0.826
subSRR5930527_bin.40.fa,98.99,1.677
SRR5930522_bin.16.fa,100,1.342
SRR5930534_bin.1.fa,99.36,0
subSRR6000869_bin.7.fa,99.36,0
SRR5930534_bin.16.fa,76.89,0
SRR6000871_bin.9.fa,94.42,1.16
subSRR5930495_bin.24.fa,99.36,0
subSRR5930536_bin.13.fa,75.25,8.564
SRR5930514_bin.24.fa,84.84,1.582
SRR5930523_bin.9.fa,85.06,0.632
subSRR5930504_bin.2.fa,98.06,0
subSRR5930530_bin.28.fa,83.46,1.424
subSRR5930519_bin.16.fa,97.31,0.791
subSRR6000943_bin.13.fa,83.58,1.392
SRR5930523_bin.29.fa,97.42,0.747
SRR5930510_bin.35.fa,84.81,0
subSRR5930499_bin.1.fa,87.5,2.017
subSRR5930529_bin.33.fa,79.74,3.797
SRR5930513_bin.8.fa,83.3,2.658
subSRR5930502_bin.19.fa,99.2,0
subSRR6000901_bin.22.fa,99.36,0
subSRR5930519_bin.22.fa,95.88,0.474
SRR6000940_bin.49.fa,94.34,0.632
SRR6000940_bin.11.fa,93.37,3.164
subSRR6000877_bin.13.fa,98.83,0
subSRR5930526_bin.18.fa,77.89,7.169
SRR9033722_bin.15.fa,77.58,0
SRR5930517_bin.12.fa,97.65,0.779
subSRR5930528_bin.25.fa,98.16,1.169
subSRR5930499_bin.27.fa,99.41,0
SRR9033749_bin.2.fa,99.22,0
subSRR5930536_bin.23.fa,98.83,0.584
subSRR5930504_bin.15.fa,88.07,0
subSRR5930519_bin.35.fa,78.71,4.035
SRR6000921_bin.23.fa,76.26,3.376
subSRR5930519_bin.2.fa,96.42,0
SRR6000894_bin.12.fa,98.37,0.158
SRR5930511_bin.22.fa,97.15,0
SRR5930522_bin.36.fa,97.81,2.436
subSRR5930506_bin.36.fa,96.29,3.118
subSRR5930509_bin.31.fa,100,0.584
subSRR5930505_bin.18.fa,97.09,1.461
subSRR9033747_bin.4.fa,98.77,0
subSRR9033720_bin.22.fa,99.41,0
SRR9033722_bin.27.fa,94.62,0.632
subSRR5930502_bin.6.fa,99.36,0
SRR5930534_bin.5.fa,80.99,0.146
SRR6000894_bin.25.fa,93.56,0.194
subSRR6000892_bin.13.fa,84.4,0
SRR6000940_bin.4.fa,91.22,0.194
SRR5930533_bin.37.fa,97.37,0
subSRR6000920_bin.25.fa,93.56,0.22
SRR5930534_bin.27.fa,76.08,2.105
SRR5930493_bin.18.fa,97.98,0.671
subSRR5930506_bin.28.fa,98.65,1.403
SRR5930534_bin.26.fa,96.27,1.342
SRR5930522_bin.22.fa,99.34,1.582
subSRR5930529_bin.6.fa,93.95,0
SRR5930515_bin.19.fa,97.36,0.779
SRR6000903_bin.11.fa,97.05,1.754
SRR6000890_bin.8.fa,89.59,0.671
subSRR6000944_bin.13.fa,98.65,0
subSRR6000869_bin.16.fa,98.65,0.838
subSRR5930503_bin.54.fa,98.65,0
subSRR5930504_bin.36.fa,97.36,0.692
SRR5930510_bin.2.fa,81.65,0.95
SRR6000906_bin.59.fa,97.09,0.335
ERR2162205_bin.17.fa,88.14,0.732
subSRR5930527_bin.19.fa,97.31,0
subSRR5930528_bin.28.fa,97.09,0
subSRR6000877_bin.18.fa,97.98,0.335
subSRR5930527_bin.42.fa,98.65,0
subSRR5930508_bin.40.fa,81.13,0.122
subSRR5930529_bin.18.fa,87.91,0.915
SRR6000908_bin.14.fa,99.32,0
SRR6000910_bin.26.fa,99.32,0.671
SRR5930510_bin.22.fa,98.65,0.671
subSRR5930504_bin.30.fa,99.32,0
subSRR6000892_bin.25.fa,94.23,1.677
subSRR5930494_bin.43.fa,90.13,0
ERR2162201_bin.15.fa,92.63,0.699
SRR9033737_bin.21.fa,92.4,0
subSRR5930532_bin.21.fa,99.32,0
subSRR5930494_bin.37.fa,90.87,1.067
subSRR5930506_bin.20.fa,99.32,0
subSRR5930528_bin.33.fa,99.32,0
SRR5930522_bin.2.fa,99.32,0.671
SRR6000946_bin.16.fa,93.95,0
SRR5930517_bin.41.fa,99.32,0
subSRR6000947_bin.10.fa,95.57,1.464
subSRR6000892_bin.16.fa,97.25,1.997
subSRR5930507_bin.17.fa,100,0.335
subSRR5930528_bin.22.fa,95.3,0
ERR2162221_bin.9.fa,99.32,0
SRR6000906_bin.27.fa,97.74,0
subSRR5930503_bin.21.fa,96.97,0.02
subSRR5930532_bin.24.fa,98.85,3.735
subSRR5930502_bin.1.fa,98.27,1.724
SRR6000932_bin.50.fa,76.77,2.074
SRR6000907_bin.12.fa,85.38,0.791
subSRR5930499_bin.33.fa,98.95,0.373
subSRR5930528_bin.53.fa,94.97,0
subSRR5930531_bin.25.fa,95.99,0.316
SRR6000903_bin.9.fa,75.43,8.612
subSRR5930504_bin.19.fa,94.66,0.546
SRR6000878_bin.12.fa,98.65,0
subSRR5930532_bin.6.fa,93.52,1.677
subSRR6000892_bin.49.fa,86.32,1.342
subSRR6000909_bin.38.fa,91.72,0
SRR6000894_bin.40.fa,97.1,0.483
subSRR5930504_bin.37.fa,98.18,0.285
subSRR5930504_bin.43.fa,95.93,0.656
subSRR6000892_bin.20.fa,85.09,0.212
subSRR5930532_bin.30.fa,98.08,0.159
SRR6000900_bin.3.fa,99.36,0
subSRR5930502_bin.10.fa,94.15,0.636
subSRR5930536_bin.2.fa,98.08,0
subSRR6000905_bin.21.fa,98.72,0.318
subSRR5930536_bin.1.fa,99.05,0.949
subSRR6000892_bin.18.fa,98.39,2.848
SRR5930517_bin.39.fa,87.81,0
SRR6000907_bin.18.fa,95.85,0
subSRR6000892_bin.4.fa,98.73,0.632
subSRR5930498_bin.51.fa,98.1,0.158
subSRR5930532_bin.5.fa,99.36,0.158
SRR5930523_bin.23.fa,98.1,0.632
subSRR5930505_bin.40.fa,91.37,3.481
ERR2162206_bin.9.fa,91.61,0.632
subSRR5930527_bin.22.fa,99.43,0
subSRR5930531_bin.5.fa,99.51,0
subSRR5930530_bin.4.fa,98.06,0.483
subSRR5930526_bin.6.fa,89.56,1.932
SRR9033727_bin.5.fa,99.51,0
SRR5930513_bin.6.fa,99.51,0
SRR9033738_bin.6.fa,95.96,1.196
ERR2162205_bin.16.fa,97.58,0.966
subSRR6000920_bin.8.fa,90.16,1.454
ERR2162224_bin.7.fa,94.28,0.019
subSRR6000909_bin.39.fa,88.28,0.978
subSRR5930504_bin.17.fa,99.28,0.402
SRR6000911_bin.25.fa,99.51,0.74
SRR5930515_bin.32.fa,99.03,0.845
SRR9033751_bin.1.fa,94,1.046
SRR6000894_bin.6.fa,92.6,0.483
subSRR5930526_bin.27.fa,95.96,1.062
SRR6000940_bin.57.fa,91.27,1.642
SRR9033753_bin.2.fa,97.82,2.093
SRR5930521_bin.30.fa,98.31,0.483
ERR2162202_bin.18.fa,98.91,1.69
SRR6000874_bin.19.fa,91.16,0.724
SRR6000910_bin.27.fa,95.61,0
subSRR9033721_bin.3.fa,78.31,6.521
subSRR5930504_bin.18.fa,76.05,7.246
SRR6000912_bin.8.fa,99.51,0.966
subSRR6000895_bin.22.fa,100,0.019
SRR6000932_bin.15.fa,95.68,2.175
subSRR5930498_bin.59.fa,93.84,1.858
subSRR5930530_bin.24.fa,91.42,0.069
subSRR5930504_bin.21.fa,97.79,0.738
subSRR6000892_bin.45.fa,97.41,2.175
subSRR9033732_bin.7.fa,92.79,2.948
subSRR5930529_bin.3.fa,76.82,1.505
SRR6000940_bin.22.fa,82.25,1.084
subSRR5930503_bin.12.fa,93.4,0
SRR5930522_bin.18.fa,99.05,0.134
subSRR5930507_bin.15.fa,94.57,1.257
subSRR5930506_bin.49.fa,100,1.078
subSRR6000877_bin.15.fa,100,0
subSRR5930502_bin.4.fa,91.19,1.257
subSRR5930518_bin.37.fa,80.85,0
SRR5930522_bin.21.fa,92.45,5.188
subSRR9033720_bin.15.fa,97.31,0
subSRR5930506_bin.9.fa,80.96,0.134
subSRR5930504_bin.22.fa,95.97,0
SRR5930517_bin.36.fa,95.17,1.51
subSRR5930502_bin.5.fa,97.31,0.335
subSRR6000896_bin.14.fa,86.06,1.006
subSRR6000901_bin.24.fa,79.52,1.571
subSRR5930529_bin.15.fa,80.33,1.497
SRR9033742_bin.1.fa,79.14,1.979
SRR6000894_bin.22.fa,97.98,0
ERR2162202_bin.9.fa,97.98,0
SRR5930511_bin.5.fa,97.98,0
SRR5930513_bin.7.fa,82.72,1.51
ERR2162212_bin.10.fa,93.95,0.134
SRR6000906_bin.55.fa,80.55,0.732
subSRR6000899_bin.19.fa,97.76,0.335
SRR6000890_bin.11.fa,76.55,0.223
ERR2162220_bin.13.fa,77.24,1.235
SRR5930512_bin.13.fa,99.62,0
SRR6000903_bin.16.fa,99.98,0.561
SRR5930522_bin.23.fa,99.45,0.145
SRR6000907_bin.30.fa,98.55,1.542
subSRR5930505_bin.53.fa,82.78,1.727
SRR6000873_bin.36.fa,82.62,1.255
subSRR5930532_bin.40.fa,99.46,0.363
SRR6000946_bin.23.fa,98.99,0.849
SRR6000893_bin.44.fa,95.92,3.776
subSRR5930532_bin.33.fa,97.9,0.463
SRR6000894_bin.10.fa,94.91,5.564
subSRR5930520_bin.44.fa,89.25,1.841
subSRR9033715_bin.1.fa,96.62,2.247
subSRR5930532_bin.15.fa,99.18,0.273
subSRR5930532_bin.19.fa,98.62,0.998
SRR5930515_bin.28.fa,98.5,0.093
SRR6000946_bin.35.fa,99.62,0
SRR5930512_bin.21.fa,98.5,1.217
SRR6000893_bin.23.fa,98.66,0.111
ERR2162201_bin.5.fa,98.66,1.444
ERR2162221_bin.4.fa,100,0.111
subSRR6000877_bin.27.fa,99.5,0.371
ERR2162219_bin.19.fa,78.79,1.342
subSRR5930527_bin.26.fa,78.79,1.342
SRR6000893_bin.4.fa,79.68,1.342
ERR2162201_bin.21.fa,80.86,0
SRR5930501_bin.55.fa,76.77,2.572
ERR2162224_bin.13.fa,77.78,1.006
subSRR6000931_bin.42.fa,78.68,1.006
subSRR5930503_bin.52.fa,80.05,2.348
SRR6000932_bin.32.fa,80.35,2.125
ERR2162207_bin.4.fa,80.69,2.46
SRR9033751_bin.23.fa,76.66,1.789
ERR2162212_bin.3.fa,81.03,1.789
subSRR6000869_bin.17.fa,76.77,1.342
SRR6000893_bin.49.fa,76.22,1.789
subSRR5930497_bin.30.fa,76.22,1.006
SRR6000893_bin.7.fa,75.86,1.677
SRR5930512_bin.6.fa,99.43,0
SRR5930534_bin.18.fa,98.29,0.161
subSRR5930527_bin.17.fa,94.74,2.338
subSRR5930526_bin.4.fa,98.11,0
SRR9033749_bin.13.fa,81.59,1.456
subSRR6000895_bin.33.fa,76.08,2.214
SRR6000907_bin.36.fa,98.94,0
subSRR5930526_bin.26.fa,100,0.704
subSRR5930494_bin.51.fa,88.7,1.056
SRR5930515_bin.34.fa,98.23,0.704
subSRR5930504_bin.20.fa,98.65,0
subSRR5930519_bin.28.fa,100,0
SRR9033725_bin.9.fa,92.69,1.123
SRR5930501_bin.28.fa,79.77,7.865
ERR2162221_bin.19.fa,79.59,1.685
subSRR5930503_bin.16.fa,91.57,3.37
subSRR6000895_bin.36.fa,91.57,1.685
subSRR5930528_bin.49.fa,78.65,0
SRR5930501_bin.42.fa,89.32,1.123
subSRR5930503_bin.32.fa,90,0.121
ERR2162221_bin.3.fa,94.38,2.247
subSRR5930503_bin.62.fa,88.87,0.561
SRR9033725_bin.17.fa,81.13,2.808
SRR5930493_bin.31.fa,94.07,0.943
subSRR5930506_bin.14.fa,100,0
subSRR5930504_bin.49.fa,100,0.943
SRR5930493_bin.17.fa,100,0.042
SRR5930517_bin.23.fa,100,0.471
subSRR5930516_bin.23.fa,100,0
subSRR6000947_bin.38.fa,81.17,2.016
SRR9033723_bin.25.fa,99.05,0
SRR6000908_bin.9.fa,97.16,0
subSRR5930503_bin.53.fa,97.16,0
subSRR6000909_bin.32.fa,99.05,0
SRR6000891_bin.17.fa,99.05,0
SRR6000874_bin.22.fa,98.11,0
SRR6000894_bin.45.fa,81.53,2.165
subSRR6000899_bin.45.fa,81.04,8.962
subSRR6000920_bin.37.fa,98.58,0
SRR5930522_bin.31.fa,100,0
subSRR5930504_bin.7.fa,84.33,7.303
SRR6000903_bin.12.fa,98.11,2.291
subSRR5930532_bin.34.fa,91.18,4.205
subSRR5930532_bin.36.fa,96.03,8.795
SRR5930517_bin.16.fa,99.3,0
subSRR5930516_bin.8.fa,98.95,0
SRR6000946_bin.28.fa,89.06,0.971
SRR6000893_bin.33.fa,100,1.123
subSRR5930503_bin.22.fa,100,0
ERR2162219_bin.12.fa,96.62,0
ERR2162221_bin.12.fa,93.82,0.722
SRR6000940_bin.44.fa,95.95,1.482
subSRR5930505_bin.28.fa,97.7,1.246
subSRR9033720_bin.3.fa,83.96,1.65
subSRR5930516_bin.30.fa,96.76,1.246
SRR5930517_bin.4.fa,97.84,1.246
ERR2162201_bin.3.fa,95.68,2.055
ERR2162224_bin.12.fa,85.39,0.75
subSRR5930519_bin.14.fa,96.9,1.785
ERR2162200_bin.5.fa,94.47,1.326
SRR6000871_bin.13.fa,98.75,0
SRR6000942_bin.18.fa,96.64,0
subSRR5930528_bin.18.fa,96.64,0
SRR6000911_bin.21.fa,100,0.632
SRR5930515_bin.12.fa,99.36,1.265
subSRR5930502_bin.14.fa,99.2,0.149
subSRR6000899_bin.42.fa,100,0
SRR5930512_bin.12.fa,100,0
SRR6000945_bin.17.fa,87.74,0.119
SRR6000900_bin.2.fa,100,0
subSRR6000931_bin.55.fa,83.32,7.519
SRR9033725_bin.2.fa,93.48,1.209
subSRR6000947_bin.34.fa,97.98,1.612
SRR6000871_bin.10.fa,98.65,0.671
SRR6000878_bin.7.fa,90.44,1.342
SRR5930534_bin.43.fa,99.31,0
SRR9033738_bin.10.fa,96.19,0.747
subSRR5930494_bin.1.fa,98.63,0
SRR6000912_bin.2.fa,90.46,1.792
subSRR6000947_bin.14.fa,98.63,0
SRR6000946_bin.12.fa,98.63,0
subSRR5930497_bin.34.fa,97.94,0
subSRR5930498_bin.31.fa,98.63,0
subSRR6000895_bin.42.fa,97.03,0
subSRR5930505_bin.6.fa,98.63,0
subSRR6000909_bin.5.fa,98.63,0
subSRR5930508_bin.44.fa,97.26,0
SRR6000890_bin.7.fa,98.63,0
subSRR6000892_bin.59.fa,98.63,0
SRR9033725_bin.4.fa,99.31,0
SRR9033724_bin.2.fa,90.15,1.677
subSRR5930528_bin.9.fa,94.63,0
SRR5930534_bin.15.fa,98.99,0
subSRR6000931_bin.49.fa,98.99,0
SRR9033750_bin.9.fa,98.99,2.684
SRR5930493_bin.34.fa,93.34,1.454
SRR9033743_bin.1.fa,98.99,0
SRR9033737_bin.38.fa,98.99,0
subSRR5930507_bin.30.fa,98.99,0
subSRR5930530_bin.34.fa,98.99,0
subSRR5930506_bin.6.fa,98.99,0
SRR6000908_bin.24.fa,98.32,0
subSRR9033747_bin.16.fa,76.63,1.901
SRR6000942_bin.2.fa,99.32,0
subSRR5930505_bin.22.fa,98.65,0
subSRR5930504_bin.38.fa,98.65,0.671
subSRR5930531_bin.19.fa,84.03,1.586
SRR5930514_bin.21.fa,99.32,0.335
subSRR5930507_bin.12.fa,98.65,0.335
subSRR5930502_bin.15.fa,99.32,1.006
subSRR5930508_bin.31.fa,99.32,1.006
subSRR5930494_bin.60.fa,99.32,0.671
subSRR5930516_bin.44.fa,80.97,1.006
ERR2162224_bin.11.fa,99.32,2.41
SRR6000932_bin.36.fa,99.32,0
SRR6000940_bin.18.fa,98.65,0
SRR9033742_bin.5.fa,97.31,0
SRR9033752_bin.11.fa,85.23,0.692
subSRR6000905_bin.9.fa,97.98,0
SRR9033750_bin.4.fa,97.31,0
subSRR5930507_bin.34.fa,95.97,0.671
subSRR6000895_bin.32.fa,98.65,0
subSRR5930531_bin.4.fa,98.65,0
SRR5930501_bin.47.fa,96.97,0
SRR6000893_bin.37.fa,97.31,0.335
ERR2162221_bin.1.fa,97.98,0
SRR5930513_bin.5.fa,97.98,0
subSRR6000899_bin.35.fa,98.65,0.223
SRR5930533_bin.16.fa,98.65,0.223
subSRR5930508_bin.1.fa,93.93,1.342
subSRR6000931_bin.28.fa,97.98,0.335
subSRR6000895_bin.13.fa,80.78,1.02
subSRR6000947_bin.42.fa,97.95,0
ERR2162210_bin.5.fa,95.91,0
SRR5930522_bin.13.fa,96.59,0
SRR9033725_bin.22.fa,98.63,0
SRR5930517_bin.11.fa,97.95,0
SRR6000907_bin.10.fa,97.95,0
subSRR5930509_bin.14.fa,97.27,0.68
SRR9033745_bin.2.fa,92.47,1.02
subSRR5930499_bin.15.fa,96.42,1.342
SRR9033722_bin.31.fa,96.42,0.732
SRR9033725_bin.20.fa,91.16,0.692
ERR2162221_bin.13.fa,77.91,1.847
SRR5930501_bin.48.fa,90.7,2.027
subSRR5930530_bin.27.fa,88.41,0.073
SRR5930517_bin.40.fa,100,1.696
subSRR6000895_bin.38.fa,100,0.898
subSRR9033720_bin.20.fa,100,0.898
subSRR5930526_bin.10.fa,100,1.796
subSRR5930516_bin.10.fa,99.4,0.898
subSRR6000947_bin.45.fa,99.4,1.497
subSRR5930498_bin.37.fa,83.06,2.12
subSRR5930519_bin.23.fa,97.45,1.197
subSRR9033746_bin.7.fa,100,0.898
SRR5930493_bin.32.fa,99.19,1.209
SRR9033742_bin.16.fa,100,1.612
subSRR5930494_bin.55.fa,100,2.419
subSRR9033721_bin.9.fa,91.25,3.225
subSRR5930526_bin.16.fa,100,0.806
subSRR5930536_bin.11.fa,100,0.806
SRR5930511_bin.7.fa,95.8,0.806
subSRR5930518_bin.10.fa,100,0.806
SRR5930501_bin.61.fa,98.92,2.052
SRR6000910_bin.11.fa,89.21,1.612
subSRR5930520_bin.36.fa,100,0.806
subSRR9033732_bin.8.fa,100,1.37
SRR5930517_bin.20.fa,100,4.032
subSRR6000892_bin.53.fa,100,0.806
subSRR6000895_bin.10.fa,100,0.806
subSRR5930508_bin.9.fa,100,1.612
subSRR6000920_bin.14.fa,98.38,0.806
subSRR6000901_bin.20.fa,100,0.806
SRR6000946_bin.34.fa,100,0.806
subSRR5930507_bin.7.fa,100,0.806
SRR5930514_bin.15.fa,91.24,0.201
SRR6000903_bin.19.fa,100,0.985
SRR6000870_bin.23.fa,97.17,2.492
subSRR6000909_bin.29.fa,100,0.806
subSRR5930503_bin.50.fa,98.38,2.419
SRR9033749_bin.10.fa,100,0.806
SRR6000894_bin.48.fa,95.16,0.806
SRR5930522_bin.14.fa,100,0.806
SRR9033716_bin.10.fa,82.72,5.763
ERR2162206_bin.4.fa,99.19,1.774
SRR6000942_bin.19.fa,99.92,0.806
subSRR5930505_bin.43.fa,95.96,0.921
SRR5930510_bin.1.fa,93.75,1.478
subSRR5930497_bin.35.fa,95.31,2.419
SRR6000911_bin.31.fa,79.77,3.198
SRR5930521_bin.18.fa,99.19,0.806
subSRR6000905_bin.42.fa,99.19,0.806
ERR2162202_bin.19.fa,83.25,2.37
SRR5930534_bin.28.fa,97.17,0.887
subSRR6000931_bin.12.fa,95.56,1.075
subSRR5930499_bin.13.fa,99.19,0
subSRR5930519_bin.20.fa,100,0
SRR6000873_bin.18.fa,99.19,0.806
ERR2162207_bin.3.fa,78.23,2.15
subSRR6000899_bin.28.fa,100,0
SRR6000894_bin.4.fa,85.48,2.419
subSRR5930516_bin.21.fa,95.8,1.971
subSRR6000947_bin.54.fa,98.43,0.671
SRR6000894_bin.20.fa,79.52,3.155
subSRR5930499_bin.29.fa,95.65,2.263
subSRR5930498_bin.58.fa,82.25,0
subSRR5930503_bin.1.fa,95.83,1.612
subSRR9033747_bin.23.fa,97.98,0.446
SRR5930493_bin.11.fa,98.18,0.188
SRR6000940_bin.48.fa,96.36,0.316
subSRR6000909_bin.2.fa,99.11,0.115
subSRR5930528_bin.45.fa,89.04,1.582
subSRR5930497_bin.33.fa,98.79,1.344
subSRR5930526_bin.20.fa,100,0
SRR5930493_bin.10.fa,100,0
SRR5930510_bin.24.fa,78.7,7.961
subSRR6000905_bin.30.fa,99.94,0.378
SRR5930521_bin.11.fa,94.87,8.484
subSRR5930531_bin.23.fa,99.53,0.307
subSRR9033748_bin.1.fa,100,0
subSRR5930519_bin.8.fa,98.52,1.212
subSRR5930516_bin.42.fa,78.32,1.536
SRR5930522_bin.26.fa,99.76,0
SRR6000874_bin.8.fa,99.19,0.806
subSRR5930498_bin.22.fa,86.43,3.279
subSRR5930507_bin.40.fa,83.7,0.873
subSRR5930531_bin.3.fa,99.46,1.075
SRR6000902_bin.13.fa,87.23,6.397
SRR6000910_bin.17.fa,87.61,0.349
SRR9033722_bin.22.fa,100,1.229
subSRR5930495_bin.25.fa,95.88,2.442
subSRR5930532_bin.29.fa,99.19,0.476
subSRR9033720_bin.13.fa,88.68,3.629
subSRR5930494_bin.11.fa,84.85,3.091
subSRR9033747_bin.8.fa,86.15,3.629
subSRR5930504_bin.40.fa,100,0.073
SRR6000940_bin.60.fa,97.58,0.678
SRR6000894_bin.15.fa,75.58,0.115
